customer_id,name,email,phone,plan_type,monthly_charge,tenure_months,total_charges,contract_type,payment_method,num_tickets,avg_satisfaction,churn_status
1,Cliente 1,cliente1@example.com,0968803846,Combo TV+Internet,56.94,37,1919.21,one-year,cash,4,2.51,0
2,Cliente 2,cliente2@example.com,0940537813,Fibra 200MB,38.94,33,1185.35,two-year,credit_card,5,4.54,0
3,Cliente 3,cliente3@example.com,0936359504,Fibra 200MB,45.65,5,233.87,one-year,bank_transfer,0,3.66,0
4,Cliente 4,cliente4@example.com,0984992411,Fibra 500MB,25.31,8,186.64,month-to-month,credit_card,2,4.05,0
5,Cliente 5,cliente5@example.com,0934371487,Plan Prepago Movil,20.8,43,856.38,two-year,credit_card,2,2.3,0
6,Cliente 6,cliente6@example.com,0922958845,Fibra 200MB,18.02,41,696.13,month-to-month,bank_transfer,1,4.49,1
7,Cliente 7,cliente7@example.com,0936668713,Fibra 200MB,56.69,40,2123.65,two-year,credit_card,1,5.0,0
8,Cliente 8,cliente8@example.com,0956848314,Fibra 1GB,38.92,11,386.96,month-to-month,bank_transfer,1,2.21,0
9,Cliente 9,cliente9@example.com,0914206715,Plan Ilimitado,15.0,37,546.64,month-to-month,bank_transfer,2,3.99,0
10,Cliente 10,cliente10@example.com,0951628615,Plan Ilimitado,43.86,4,168.46,month-to-month,credit_card,2,2.74,0
11,Cliente 11,cliente11@example.com,0917246850,Fibra 200MB,22.52,10,221.31,month-to-month,credit_card,0,5.0,0
12,Cliente 12,cliente12@example.com,0926033399,Plan Familiar,74.89,36,2549.58,two-year,bank_transfer,1,4.96,0
13,Cliente 13,cliente13@example.com,0988813078,Plan Ilimitado,34.58,45,1620.24,month-to-month,cash,1,3.91,0
14,Cliente 14,cliente14@example.com,0901197204,Plan Ilimitado,57.27,47,2661.28,one-year,credit_card,1,2.25,0
15,Cliente 15,cliente15@example.com,0950459114,Plan Ilimitado,64.6,71,4789.24,month-to-month,cash,0,2.52,0
16,Cliente 16,cliente16@example.com,0939723682,Fibra 200MB,27.81,62,1642.32,two-year,cash,1,4.42,0
17,Cliente 17,cliente17@example.com,0926824647,Fibra 1GB,46.37,27,1127.22,month-to-month,bank_transfer,1,2.1,1
18,Cliente 18,cliente18@example.com,0958698281,Combo TV+Internet,54.96,57,3186.57,month-to-month,credit_card,1,2.14,0
19,Cliente 19,cliente19@example.com,0920171148,Fibra 500MB,47.08,6,289.29,month-to-month,bank_transfer,4,3.61,0
20,Cliente 20,cliente20@example.com,0989013205,Fibra 1GB,51.5,62,2901.82,one-year,cash,1,3.75,0
21,Cliente 21,cliente21@example.com,0944044278,Internet Hogar 100MB,21.07,28,586.31,two-year,credit_card,1,4.02,0
22,Cliente 22,cliente22@example.com,0996613057,Fibra 500MB,54.97,55,3020.79,two-year,cash,1,3.12,0
23,Cliente 23,cliente23@example.com,0960581529,Fibra 1GB,36.25,70,2339.22,month-to-month,cash,1,4.61,0
24,Cliente 24,cliente24@example.com,0957582745,Fibra 500MB,51.29,51,2571.0,month-to-month,bank_transfer,1,2.65,0
25,Cliente 25,cliente25@example.com,0961874564,Fibra 200MB,61.56,67,3862.53,month-to-month,bank_transfer,2,4.29,0
26,Cliente 26,cliente26@example.com,0965720481,Combo TV+Internet,57.04,0,0.0,month-to-month,bank_transfer,3,3.84,0
27,Cliente 27,cliente27@example.com,0984248865,Internet Hogar 100MB,51.28,12,633.84,one-year,bank_transfer,1,4.26,0
28,Cliente 28,cliente28@example.com,0989798005,Fibra 500MB,56.56,45,2478.4,month-to-month,cash,2,4.9,0
29,Cliente 29,cliente29@example.com,0992981420,Fibra 200MB,57.39,39,2276.83,one-year,credit_card,0,3.1,0
30,Cliente 30,cliente30@example.com,0962564003,Fibra 500MB,71.92,8,580.21,two-year,credit_card,1,2.87,0
31,Cliente 31,cliente31@example.com,0908101656,Fibra 1GB,44.39,52,2421.51,month-to-month,credit_card,2,1.74,0
32,Cliente 32,cliente32@example.com,0933613149,Combo TV+Internet,47.95,4,185.22,month-to-month,cash,1,1.38,0
33,Cliente 33,cliente33@example.com,0986637851,Plan Prepago Movil,61.78,72,4288.62,month-to-month,credit_card,0,3.41,0
34,Cliente 34,cliente34@example.com,0961310764,Plan Ilimitado,36.17,11,374.9,month-to-month,cash,2,3.48,0
35,Cliente 35,cliente35@example.com,0936524758,Plan Ilimitado,20.97,32,666.86,month-to-month,bank_transfer,2,2.41,0
36,Cliente 36,cliente36@example.com,0954726622,Fibra 500MB,53.88,60,3145.25,one-year,credit_card,1,,0
37,Cliente 37,cliente37@example.com,0901061517,Fibra 1GB,41.29,37,1541.96,month-to-month,cash,0,5.0,1
38,Cliente 38,cliente38@example.com,0962726647,Plan Prepago Movil,23.26,54,1197.6,one-year,bank_transfer,2,4.56,0
39,Cliente 39,cliente39@example.com,0994245194,Plan Ilimitado,54.01,51,2533.12,two-year,credit_card,1,2.21,0
40,Cliente 40,cliente40@example.com,0999011530,Fibra 200MB,70.76,69,5025.81,two-year,credit_card,1,3.11,0
